idx,sc_rdkit
O14757_Pocket2Mol_idx-in-all-generaetd-0,0.34339848153855895
O14757_Pocket2Mol_idx-in-all-generaetd-1,0.3712280023111793
O14757_Pocket2Mol_idx-in-all-generaetd-2,0.22936753292720186
O14757_Pocket2Mol_idx-in-all-generaetd-3,0.3331431125845957
O14757_Pocket2Mol_idx-in-all-generaetd-4,0.2908614969598361
O14757_Pocket2Mol_idx-in-all-generaetd-5,0.2723449410999912
O14757_Pocket2Mol_idx-in-all-generaetd-6,0.30637987760278457
O14757_Pocket2Mol_idx-in-all-generaetd-7,0.39736891392592566
O14757_Pocket2Mol_idx-in-all-generaetd-8,0.39033446547803463
O14757_Pocket2Mol_idx-in-all-generaetd-9,0.3192384876959782
O14757_Pocket2Mol_idx-in-all-generaetd-10,0.25368940109035004
O14757_Pocket2Mol_idx-in-all-generaetd-11,0.29398511723824805
O14757_Pocket2Mol_idx-in-all-generaetd-12,0.2991150625881957
O14757_Pocket2Mol_idx-in-all-generaetd-13,0.3140159714849001
O14757_Pocket2Mol_idx-in-all-generaetd-14,0.36956375028940486
O14757_Pocket2Mol_idx-in-all-generaetd-15,0.34991151359096884
O14757_Pocket2Mol_idx-in-all-generaetd-16,0.3224129477453172
O14757_Pocket2Mol_idx-in-all-generaetd-17,0.31803960749195426
O14757_Pocket2Mol_idx-in-all-generaetd-18,0.34946812204846844
O14757_Pocket2Mol_idx-in-all-generaetd-19,0.26806018321233155
O14757_Pocket2Mol_idx-in-all-generaetd-20,0.31660653424317653
O14757_Pocket2Mol_idx-in-all-generaetd-21,0.32197606762527464
O14757_Pocket2Mol_idx-in-all-generaetd-22,0.23141631037411012
O14757_Pocket2Mol_idx-in-all-generaetd-23,0.22143697720945674
O14757_Pocket2Mol_idx-in-all-generaetd-24,0.3119380998631267
O14757_Pocket2Mol_idx-in-all-generaetd-25,0.2818219139817128
O14757_Pocket2Mol_idx-in-all-generaetd-26,0.3585724183939013
O14757_Pocket2Mol_idx-in-all-generaetd-27,0.25357437298363383
O14757_Pocket2Mol_idx-in-all-generaetd-28,0.32579607245801334
O14757_Pocket2Mol_idx-in-all-generaetd-29,0.31782855598050386
O14757_Pocket2Mol_idx-in-all-generaetd-30,0.30095378593151123
O14757_Pocket2Mol_idx-in-all-generaetd-31,0.32352253438361084
O14757_Pocket2Mol_idx-in-all-generaetd-32,0.35825773947463607
O14757_Pocket2Mol_idx-in-all-generaetd-33,0.4269361071741727
O14757_Pocket2Mol_idx-in-all-generaetd-34,0.29954995406578167
O14757_Pocket2Mol_idx-in-all-generaetd-35,0.32496027302381936
O14757_Pocket2Mol_idx-in-all-generaetd-36,0.36935715189729384
O14757_Pocket2Mol_idx-in-all-generaetd-37,0.3148674213216406
O14757_Pocket2Mol_idx-in-all-generaetd-38,0.3111362202834119
O14757_Pocket2Mol_idx-in-all-generaetd-39,0.33469906557580037
O14757_Pocket2Mol_idx-in-all-generaetd-40,0.3153699799237168
O14757_Pocket2Mol_idx-in-all-generaetd-41,0.28268823929934084
O14757_Pocket2Mol_idx-in-all-generaetd-42,0.5384615150121925
O14757_Pocket2Mol_idx-in-all-generaetd-43,0.43808688530281187
O14757_Pocket2Mol_idx-in-all-generaetd-44,0.386348286255034
O14757_Pocket2Mol_idx-in-all-generaetd-45,0.27864055962548545
O14757_Pocket2Mol_idx-in-all-generaetd-46,0.23025575707899867
O14757_Pocket2Mol_idx-in-all-generaetd-47,0.3355363647942017
O14757_Pocket2Mol_idx-in-all-generaetd-48,0.38030073998084885
O14757_Pocket2Mol_idx-in-all-generaetd-49,0.3465113845966096
O14757_Pocket2Mol_idx-in-all-generaetd-50,0.27221619822673304
O14757_Pocket2Mol_idx-in-all-generaetd-51,0.2925478997309775
O14757_Pocket2Mol_idx-in-all-generaetd-52,0.32226535579575444
O14757_Pocket2Mol_idx-in-all-generaetd-53,0.32637319763053674
O14757_Pocket2Mol_idx-in-all-generaetd-54,0.33357066916028005
O14757_Pocket2Mol_idx-in-all-generaetd-55,0.25322192800185506
